Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28111771,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2018,,,,,,,,,10 221 981,10221981,,,,2022-02-10T07:52:00Z,2018,2018-01-01,2018-12-31
28111772,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2019,,,,,,,,,5 824 844,5824844,,,,2022-02-10T07:52:00Z,2019,2019-01-01,2019-12-31
28111773,MALARIA_RDT_POS,COUNTRY,BFA,YEAR,2020,,,,,,,,,10 519 323,10519323,,,,2022-02-10T07:52:00Z,2020,2020-01-01,2020-12-31
28111774,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2012,,,,,,,,,193,193,,,,2022-02-10T07:52:00Z,2012,2012-01-01,2012-12-31
28111775,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2013,,,,,,,,,456,456,,,,2022-02-10T07:52:00Z,2013,2013-01-01,2013-12-31
28111776,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2014,,,,,,,,,1 346,1346,,,,2022-02-10T07:52:00Z,2014,2014-01-01,2014-12-31
28111777,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2015,,,,,,,,,332,332,,,,2022-02-10T07:52:00Z,2015,2015-01-01,2015-12-31
28111778,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2016,,,,,,,,,723,723,,,,2022-02-10T07:52:01Z,2016,2016-01-01,2016-12-31
28111779,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2017,,,,,,,,,1 909,1909,,,,2022-02-10T07:52:01Z,2017,2017-01-01,2017-12-31
28111780,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2018,,,,,,,,,585,585,,,,2022-02-10T07:52:01Z,2018,2018-01-01,2018-12-31
28111781,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2019,,,,,,,,,272,272,,,,2022-02-10T07:52:01Z,2019,2019-01-01,2019-12-31
28111782,MALARIA_RDT_POS,COUNTRY,BWA,YEAR,2020,,,,,,,,,953,953,,,,2022-02-10T07:52:01Z,2020,2020-01-01,2020-12-31
28111783,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2012,,,,,,,,,87 566,87566,,,,2022-02-10T07:52:01Z,2012,2012-01-01,2012-12-31
28111784,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2013,,,,,,,,,126 758,126758,,,,2022-02-10T07:52:01Z,2013,2013-01-01,2013-12-31
28111785,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2014,,,,,,,,,253 652,253652,,,,2022-02-10T07:52:01Z,2014,2014-01-01,2014-12-31
28111786,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2015,,,,,,,,,492 309,492309,,,,2022-02-10T07:52:01Z,2015,2015-01-01,2015-12-31
28111787,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2016,,,,,,,,,1 094 393,1094393,,,,2022-02-10T07:52:01Z,2016,2016-01-01,2016-12-31
28111788,MALARIA_RDT_POS,COUNTRY,CAF,YEAR,2017,,,,,,,,,383 058,383058,,,,2022-02-10T07:52:01Z,2017,2017-01-01,2017-12-31
