Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28116384,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2018,,,,,,,,,117 267,117267,,,,2022-02-10T08:24:47Z,2018,2018-01-01,2018-12-31
28116385,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2019,,,,,,,,,196 413,196413,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
28116386,MALARIA_MICR_POS,COUNTRY,CAF,YEAR,2020,,,,,,,,,177 742,177742,,,,2022-02-10T08:24:47Z,2020,2020-01-01,2020-12-31
28116387,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2010,,,,,,,,,62 726,62726,,,,2022-02-10T08:24:47Z,2010,2010-01-01,2010-12-31
28116388,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2011,,,,,,,,,29 976,29976,,,,2022-02-10T08:24:47Z,2011,2011-01-01,2011-12-31
28116389,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2012,,,,,,,,,107 563,107563,,,,2022-02-10T08:24:47Z,2012,2012-01-01,2012-12-31
28116390,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2013,,,,,,,,,215 104,215104,,,,2022-02-10T08:24:47Z,2013,2013-01-01,2013-12-31
28116391,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2014,,,,,,,,,306 926,306926,,,,2022-02-10T08:24:47Z,2014,2014-01-01,2014-12-31
28116392,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2015,,,,,,,,,478 870,478870,,,,2022-02-10T08:24:47Z,2015,2015-01-01,2015-12-31
28116393,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2016,,,,,,,,,579 566,579566,,,,2022-02-10T08:24:47Z,2016,2016-01-01,2016-12-31
28116394,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2017,,,,,,,,,588 969,588969,,,,2022-02-10T08:24:47Z,2017,2017-01-01,2017-12-31
28116395,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2018,,,,,,,,,696 124,696124,,,,2022-02-10T08:24:47Z,2018,2018-01-01,2018-12-31
28116396,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2019,,,,,,,,,918 371,918371,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
28116397,MALARIA_MICR_POS,COUNTRY,CIV,YEAR,2020,,,,,,,,,932 627,932627,,,,2022-02-10T08:24:47Z,2020,2020-01-01,2020-12-31
28116398,MALARIA_MICR_POS,COUNTRY,CMR,YEAR,2015,,,,,,,,,592 351,592351,,,,2022-02-10T08:24:47Z,2015,2015-01-01,2015-12-31
28116399,MALARIA_MICR_POS,COUNTRY,CMR,YEAR,2016,,,,,,,,,810 367,810367,,,,2022-02-10T08:24:47Z,2016,2016-01-01,2016-12-31
28116400,MALARIA_MICR_POS,COUNTRY,CMR,YEAR,2017,,,,,,,,,390 130,390130,,,,2022-02-10T08:24:47Z,2017,2017-01-01,2017-12-31
28116401,MALARIA_MICR_POS,COUNTRY,CMR,YEAR,2018,,,,,,,,,428 888,428888,,,,2022-02-10T08:24:47Z,2018,2018-01-01,2018-12-31
28116402,MALARIA_MICR_POS,COUNTRY,CMR,YEAR,2019,,,,,,,,,1 097 615,1097615,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
28116403,MALARIA_MICR_POS,COUNTRY,CMR,YEAR,2020,,,,,,,,,956 647,956647,,,,2022-02-10T08:24:47Z,2020,2020-01-01,2020-12-31
28116404,MALARIA_MICR_POS,COUNTRY,COD,YEAR,2010,,,,,,,,,2 374 930,2374930,,,,2022-02-10T08:24:47Z,2010,2010-01-01,2010-12-31
28116405,MALARIA_MICR_POS,COUNTRY,COD,YEAR,2011,,,,,,,,,2 700 818,2700818,,,,2022-02-10T08:24:48Z,2011,2011-01-01,2011-12-31
28116406,MALARIA_MICR_POS,COUNTRY,COD,YEAR,2012,,,,,,,,,2 656 864,2656864,,,,2022-02-10T08:24:48Z,2012,2012-01-01,2012-12-31
28116407,MALARIA_MICR_POS,COUNTRY,COD,YEAR,2013,,,,,,,,,2 611 478,2611478,,,,2022-02-10T08:24:48Z,2013,2013-01-01,2013-12-31
28116408,MALARIA_MICR_POS,COUNTRY,COD,YEAR,2014,,,,,,,,,2 126 554,2126554,,,,2022-02-10T08:24:48Z,2014,2014-01-01,2014-12-31
